County,Name,Address,City,State,Zip,Latitude,Longitude
Baltimore City,Bluford Drew Jemison STEM Academy West,2000 Edgewood Street,Baltimore,MD,21216,39.309954,-76.677904
Baltimore City,New Hope Academy,900 Druid Hill Avenue,Baltimore,MD,21201,39.298386,-76.625697
Baltimore City,Baltimore Leadership School for Young Women,128 W. Franklin Street,Baltimore,MD,21201,39.295213,-76.618043
Baltimore City,Green Street Academy,125 N Hilton Street,Baltimore,MD,21229,39.288013,-76.671626
Baltimore City,Baltimore Design School,1500 Barclay Street,Baltimore,MD,21202,39.307218,-76.61106
Baltimore City,National Academy Foundation,540 N. Caroline Street,Baltimore,MD,21205,39.296805,-76.598146
Baltimore City,New Era Academy,2700 Seamon Ave,Baltimore,MD,21225,39.252656,-76.620889
Baltimore City,Academy for College and Career Exploration,2801 Saint Lo Drive,Baltimore,MD,21213,39.318387,-76.586997
Seed School LEA,The Seed School of Maryland,200 Font Hill Avenue,Baltimore,MD,21223,39.284167,-76.663991
Anne Arundel,Marley Glen School,200 Scott Ave,Glen Burnie,MD,21060,39.143209,-76.5961
Anne Arundel,Ruth Parker Eason School,648 Old Mill Rd,Millersville,MD,21108,39.118577,-76.630325
Anne Arundel,Phoenix Academy,1411 Cedar Park Road,Annapolis,MD,21401,38.983313,-76.513808
Anne Arundel,Central Special School,140 Stepney Ln,Edgewater,MD,21037,38.92784,-76.561843
Baltimore County,Maiden Choice School,4901 Shelbourne Rd,Baltimore,MD,21227,39.258234,-76.695322
Baltimore County,Ridge Ruxton,6916 Charles St,Baltimore,MD,21204,39.405289,-76.634026
Baltimore County,Battle Monument School,7801 E Collingham Dr,Baltimore,MD,21222,39.276333,-76.486003
Calvert,Calvert Country School,1350 Dares Beach Rd,Prince Frederick,MD,20678,38.55267,-76.571282
Frederick,Rock Creek School,191 Waverley Dr,Frederick,MD,21702,39.426612,-77.460801
Harford,John Archer School,100 Thomas Run Rd,Bel Air,MD,21015,39.557981,-76.290226
Howard,Cedar Lane Special Center,11630 Scaggsville Rd,Fulton,MD,20759,39.149946,-76.914727
Montgomery,Stephen Knolls School,10731 St. Margaret's Way,Kensington,MD,20895,39.033754,-77.051803
Montgomery,Longview School,13900 Bromfield Rd,Germantown,MD,20874,39.150509,-77.292809
Montgomery,Regional Institute for Children & Adolescents,15000 Broschart Rd,Rockville,MD,20850,39.102989,-77.201963
Prince George's,James E. Duckworth Regional Center,11201 Evans Trl,Beltsville,MD,20705,39.042317,-76.937351
Prince George's,C. Elizabeth Rieg Regional Center,15542 Peach Walker Dr,Mitchellville,MD,20716,38.920379,-76.734193
Prince George's,Margaret Brent Regional Center,5816 Lamont Ter,New Carrollton,MD,20784,38.964364,-76.882489
Worcester,Cedar Chapel Special School,510 Coulbourne Ln,Snow Hill,MD,21863,38.166816,-75.39573
Baltimore City,William S. Baer School,2001 N. Warwick Ave,Baltimore,MD,21216,39.310938,-76.656452
